tag,patterns,responses
Fact-18,['Bagaimana saya bisa menemukan profesional kesehatan mental untuk anak saya atau diri saya sendiri?'],['Merasa nyaman dengan profesional yang Anda atau anak Anda bekerja sama sangat penting untuk keberhasilan perawatan Anda.Menemukan profesional yang paling sesuai dengan kebutuhan Anda mungkin memerlukan penelitian.']
Fact-19,['Di mana lagi saya bisa mendapatkan bantuan?'],"['Di mana Anda mencari bantuan akan tergantung pada sifat masalah dan/atau gejala dan apa yang paling cocok untuk Anda.Seringkali, tempat terbaik untuk memulai adalah dengan berbicara dengan seseorang yang Anda percayai tentang kekhawatiran Anda, seperti anggota keluarga, teman, pendeta, penyedia layanan kesehatan, atau profesional lainnya.Memiliki dukungan sosial ini sangat penting dalam penyembuhan dari penyakit mental, dan Anda akan dapat meminta mereka untuk rujukan atau rekomendasi untuk praktisi kesehatan mental tepercaya.Cari sumber daya kesehatan mental di daerah Anda.Kedua, ada orang dan tempat di seluruh negeri yang menyediakan layanan untuk berbicara, mendengarkan, dan membantu Anda dalam perjalanan menuju pemulihan.Ketiga, banyak orang menemukan peer mendukung alat yang bermanfaat yang dapat membantu pemulihan mereka.Ada berbagai organisasi yang menawarkan kelompok pendukung untuk konsumen, anggota keluarga mereka, dan teman -teman.Beberapa kelompok pendukung dipimpin rekan sementara yang lain mungkin dipimpin oleh seorang profesional kesehatan mental.']"
Fact-20,['Apa yang harus saya ketahui sebelum memulai obat baru?'],"['Sumber informasi terbaik mengenai obat -obatan adalah dokter yang meresepkannya.Dia harus bisa menjawab pertanyaan seperti:\n1. Apa yang seharusnya dilakukan obat?\n2. Kapan harus mulai berlaku, dan bagaimana saya tahu kapan itu efektif?\n3. Bagaimana obat diminum dan untuk berapa lama?Makanan, minuman, obat -obatan lain, dan kegiatan apa yang harus dihindari saat minum obat ini?\n4. Apa efek sampingnya dan apa yang harus dilakukan jika terjadi?\n5. Apa yang harus saya lakukan jika dosis terlewatkan?\n6. Apakah ada informasi tertulis yang tersedia tentang obat ini?\n7. Apakah ada obat lain yang mungkin tepat?\n8. Jika demikian, mengapa Anda lebih suka yang Anda pilih?\n9. Bagaimana Anda memantau obat dan gejala apa yang menunjukkan bahwa mereka harus dinaikkan, diturunkan, atau diubah?\n10. Semua obat harus diminum sesuai petunjuk.Sebagian besar obat untuk penyakit mental tidak bekerja ketika diminum secara tidak teratur, dan dosis ekstra dapat menyebabkan efek samping yang parah dan terkadang berbahaya.Banyak obat psikiatris mulai memiliki efek menguntungkan hanya setelah mereka diambil selama beberapa minggu.']"
Fakta-21,['Di mana saya bisa pergi untuk menemukan terapi?'],"['Berbagai jenis terapi lebih efektif berdasarkan sifat kondisi kesehatan mental dan/atau gejala dan orang yang memilikinya (misalnya, anak -anak akan mendapat manfaat dari terapis yang berspesialisasi dalam kesehatan mental anak -anak).Namun, ada beberapa jenis perawatan dan terapi yang dapat membantu.']"
Fakta-22,['Di mana saya dapat belajar tentang jenis perawatan kesehatan mental?'],"['Kondisi kesehatan mental sering diobati dengan obat, terapi atau kombinasi keduanya.Namun, ada banyak jenis perawatan yang tersedia, termasuk perawatan komplementer & alternatif, rencana swadaya, dan dukungan sebaya.Perawatan sangat pribadi dan harus dibahas oleh orang dengan kondisi kesehatan mental dan timnya.']"
Fakta-23,['Apa saja berbagai jenis profesional kesehatan mental?'],['Ada banyak jenis profesional kesehatan mental.Menemukan yang tepat untuk Anda mungkin memerlukan penelitian.']
Fakta-24,['Di mana saya bisa pergi mencari grup pendukung?'],"['Banyak orang menemukan peer mendukung alat yang bermanfaat yang dapat membantu pemulihan mereka.Ada berbagai organisasi yang menawarkan kelompok pendukung untuk konsumen, anggota keluarga dan teman -teman mereka.Beberapa kelompok pendukung dipimpin rekan, sementara yang lain mungkin dipimpin oleh profesional kesehatan mental.']"
Fakta-25,['Bisakah Anda mencegah masalah kesehatan mental?'],"['Kita semua dapat menderita tantangan kesehatan mental, tetapi mengembangkan kesejahteraan, ketahanan, dan mencari bantuan kita sejak dini dapat membantu mencegah tantangan menjadi serius.']"
Fakta-26,"['Apakah ada obat untuk masalah kesehatan mental?', 'Apakah ada obat untuk masalah kesehatan mental?']","['Seringkali lebih realistis dan bermanfaat untuk mengetahui apa yang membantu dengan masalah yang Anda hadapi.Berbicara, konseling, obat -obatan, persahabatan, olahraga, tidur nyenyak dan nutrisi, dan pekerjaan yang bermakna semuanya bisa membantu.']"
Fakta-27,['Apa yang menyebabkan masalah kesehatan mental?'],"['Tantangan atau masalah dengan kesehatan mental Anda dapat muncul dari masalah psikologis, biologis, dan sosial, serta peristiwa kehidupan.']"
Fakta-28,['Apa yang saya lakukan jika saya khawatir tentang kesehatan mental saya?'],"['Yang paling penting adalah berbicara dengan seseorang yang Anda percayai.Ini mungkin teman, kolega, anggota keluarga, atau dokter umum.Selain berbicara dengan seseorang, mungkin berguna untuk mengetahui informasi lebih lanjut tentang apa yang Anda alami.Hal -hal ini dapat membantu mendapatkan beberapa perspektif tentang apa yang Anda alami, dan menjadi awal mendapatkan bantuan.']"
Fakta-29,['Bagaimana saya tahu jika saya tidak sehat?'],"['Jika keyakinan, pikiran, perasaan, atau perilaku Anda memiliki dampak yang signifikan pada kemampuan Anda untuk berfungsi dalam apa yang mungkin dianggap sebagai cara yang normal atau biasa, penting untuk mencari bantuan.']"
Fact-30,['Bagaimana saya bisa mempertahankan koneksi sosial?Bagaimana jika saya merasa kesepian?'],"['Banyak orang sendirian sekarang, tetapi kita tidak harus kesepian.Kita semua dalam hal ini bersama.Pikirkan berbagai cara untuk terhubung yang paling berarti bagi Anda.Misalnya, Anda mungkin lebih suka obrolan video daripada panggilan telepon, atau Anda mungkin lebih suka mengirim pesan teks sepanjang hari daripada satu waktu yang ditetapkan untuk panggilan video.Kemudian, bekerja dengan jejaring sosial Anda untuk membuat rencana.Anda dapat mengobrol video dengan teman dekat Anda di malam hari dan menelepon anggota keluarga seminggu sekali.Ingatlah untuk memperhatikan orang -orang yang mungkin tidak online.Check -in melalui telepon dan tanyakan bagaimana Anda dapat membantu.Kualitas koneksi sosial Anda penting.Tanpa pikiran menggulir melalui media sosial dan menyukai beberapa posting biasanya tidak membangun koneksi sosial yang kuat.Pastikan Anda fokus pada strategi yang benar -benar membuat Anda merasa termasuk dan terhubung.Jika strategi Anda saat ini tidak membantu Anda merasa terhubung, lekukan masalah untuk melihat apakah Anda dapat menemukan solusi.Semua orang kadang -kadang merasa kesepian.Mungkin Anda baru saja pindah ke kota baru, mengubah lingkaran teman Anda, kehilangan seseorang yang penting dalam hidup Anda, atau kehilangan pekerjaan dan juga kehilangan hubungan sosial penting dengan rekan kerja.Orang lain mungkin memiliki koneksi fisik dengan orang lain tetapi mungkin merasa seperti kebutuhan emosional atau sosial mereka tidak terpenuhi.Langkah-langkah seperti jarak sosial atau isolasi diri dapat membuat kesepian terasa lebih buruk, tidak peduli mengapa Anda merasa kesepian sekarang.Jangkau koneksi yang Anda miliki.Sarankan cara untuk tetap berhubungan dan melihat apakah Anda dapat mengatur waktu reguler untuk terhubung.Orang mungkin ragu untuk menjangkau banyak alasan berbeda, jadi jangan takut menjadi orang yang bertanya.Cari kelompok pendukung masyarakat setempat dan kelompok bantuan timbal balik di media sosial.Pandemi ini menyatukan semua orang, jadi cari peluang untuk membuat koneksi baru.Kelompok -kelompok ini adalah cara yang bagus untuk berbagi keterampilan dan kemampuan Anda atau mencari bantuan dan dukungan.Cari kelompok pendukung khusus.Grup pendukung bergerak secara online, dan ada banyak jalur dukungan yang berbeda untuk dihubungi jika Anda perlu berbicara dengan seseorang.']"
Fakta-31,['Apa perbedaan antara kecemasan dan stres?'],"['Stres dan kecemasan sering digunakan secara bergantian, dan ada tumpang tindih antara stres dan kecemasan.Stres terkait dengan pertarungan yang sama, penerbangan, atau respons beku sebagai kecemasan, dan sensasi fisik kecemasan dan stres mungkin sangat mirip.Namun, penyebab stres dan kecemasan biasanya berbeda.Stres berfokus terutama pada tekanan eksternal pada kami yang kami temukan dengan keras untuk mengatasinya.Ketika kita stres, kita biasanya tahu apa yang kita stres, dan gejala stres biasanya hilang setelah situasi stres berakhir.Kecemasan, di sisi lain, tidak selalu mudah untuk diketahui.Kecemasan berfokus pada kekhawatiran atau ketakutan tentang hal -hal yang dapat mengancam kita, serta kecemasan tentang kecemasan itu sendiri.Stres dan kecemasan keduanya adalah bagian dari menjadi manusia, tetapi keduanya bisa menjadi masalah jika mereka bertahan lama atau berdampak pada kesejahteraan atau kehidupan sehari-hari kita.']"
Fakta-32,"['Apa perbedaan antara kesedihan dan depresi?', 'Perbedaan antara kesedihan dan depresi']","[""Kesedihan adalah reaksi normal terhadap kehilangan, kekecewaan, masalah, atau situasi sulit lainnya.Merasa sedih dari waktu ke waktu hanyalah bagian lain dari menjadi manusia.Dalam kasus ini, perasaan sedih hilang dengan cepat dan Anda bisa menjalani kehidupan sehari -hari.Cara -cara lain untuk berbicara tentang kesedihan mungkin terasa rendah, merasa sedih, atau merasa biru. Orang mungkin mengatakan mereka merasa tertekan, tetapi jika itu hilang dengan sendirinya dan tidak memengaruhi kehidupan secara besar -besaran, itu mungkin bukan 't penyakit depresi.Depresi adalah penyakit mental yang memengaruhi suasana hati Anda, cara Anda memahami diri sendiri, dan cara Anda memahami dan berhubungan dengan hal -hal di sekitar Anda.Ini juga dapat digunakan dengan nama yang berbeda, seperti depresi klinis, gangguan depresi mayor, atau depresi berat.Depresi dapat muncul tanpa alasan, dan itu berlangsung lama.Ini lebih dari sekadar kesedihan atau suasana hati yang rendah.Orang yang mengalami depresi mungkin terasa tidak berharga atau putus asa.Mereka mungkin merasa tidak masuk akal.Beberapa orang mungkin mengalami depresi sebagai kemarahan atau mudah marah.Mungkin sulit untuk berkonsentrasi atau membuat keputusan.Kebanyakan orang kehilangan minat pada hal -hal yang dulu mereka nikmati dan dapat mengisolasi diri dari orang lain.Ada juga tanda -tanda fisik depresi, seperti masalah dengan tidur, nafsu makan dan energi dan nyeri atau nyeri yang tidak dapat dijelaskan.Beberapa mungkin mengalami pikiran yang sulit tentang kematian atau mengakhiri hidup mereka (bunuh diri).Depresi berlangsung lebih dari dua minggu, biasanya tidak hilang dengan sendirinya, dan memengaruhi hidup Anda.Ini penyakit nyata, dan sangat bisa diobati.Penting untuk mencari bantuan jika Anda khawatir tentang depresi.""]"
